Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count
00:00:00.000Z,00:15:00.000Z,15.984375,,,,,,,,,,,,,
00:15:00.000Z,00:30:00.000Z,15.984375,,,,,,,,,,,,,
00:30:00.000Z,00:45:00.000Z,15.984375,,,,,,,,,,,,,
00:45:00.000Z,01:00:00.000Z,15.984375,,,,,,,,,,,,,
01:00:00.000Z,01:15:00.000Z,15.984375,,,,,,,,,,,,,
01:15:00.000Z,01:30:00.000Z,15.984375,,,,,,,,,,,,,
01:30:00.000Z,01:45:00.000Z,15.984375,,,,,,,,,,,,,
01:45:00.000Z,02:00:00.000Z,15.984375,,,,,,,,,,,,,
02:00:00.000Z,02:15:00.000Z,15.984375,,,,,,,,,,,,,
02:15:00.000Z,02:30:00.000Z,15.984375,,,,,,,,,,,,,
02:30:00.000Z,02:45:00.000Z,15.984375,,,,,,,,,,,,,
02:45:00.000Z,03:00:00.000Z,15.984375,,,,,,,,,,,,,
03:00:00.000Z,03:15:00.000Z,15.984375,,,,,,,,,,,,,
03:15:00.000Z,03:30:00.000Z,15.984375,,,,,,,,,,,,,
03:30:00.000Z,03:45:00.000Z,15.984375,,,,,,,,,,,,,
03:45:00.000Z,04:00:00.000Z,15.984375,,,,,,,,,,,,,
04:00:00.000Z,04:15:00.000Z,15.984375,,,,,,,,,,,,,
04:15:00.000Z,04:30:00.000Z,15.984375,,,,,,,,,,,,,
04:30:00.000Z,04:45:00.000Z,15.984375,,,,,,,,,,,,,
04:45:00.000Z,05:00:00.000Z,15.984375,,,,,,,,,,,,,
05:00:00.000Z,05:15:00.000Z,15.984375,,,,,,,,,,,,,
05:15:00.000Z,05:30:00.000Z,15.984375,,,,,,,,,,,,,
05:30:00.000Z,05:45:00.000Z,15.984375,,,,,,,,,,,,,
05:45:00.000Z,06:00:00.000Z,15.984375,,,,,,,,,,,,,
06:00:00.000Z,06:15:00.000Z,15.984375,,,,,,,,,,,,,
06:15:00.000Z,06:30:00.000Z,15.984375,,,,,,,,,,,,,
06:30:00.000Z,06:45:00.000Z,15.984375,,,,,,,,,,,,,
06:45:00.000Z,07:00:00.000Z,15.984375,,,,,,,,,,,,,
07:00:00.000Z,07:15:00.000Z,15.984375,,,,,,,,,,,,,
07:15:00.000Z,07:30:00.000Z,15.984375,,,,,,,,,,,,,
07:30:00.000Z,07:45:00.000Z,15.984375,,,,,,,,,,,,,
07:45:00.000Z,08:00:00.000Z,15.984375,,,,,,,,,,,,,
08:00:00.000Z,08:15:00.000Z,15.984375,,,,,,,,,,,,,
08:15:00.000Z,08:30:00.000Z,15.984375,,,,,,,,,,,,,
08:30:00.000Z,08:45:00.000Z,15.984375,,,,,,,,,,,,,
08:45:00.000Z,09:00:00.000Z,15.984375,,,,,,,,,,,,,
09:00:00.000Z,09:15:00.000Z,15.984375,,,,,,,,,,,,,
09:15:00.000Z,09:30:00.000Z,15.984375,,,,,,,,,,,,,
09:30:00.000Z,09:45:00.000Z,15.984375,,,,,,,,,,,,,
09:45:00.000Z,10:00:00.000Z,15.984375,,,,,,,,,,,,,
10:00:00.000Z,10:15:00.000Z,15.984375,,,,,,,,,,,,,
10:15:00.000Z,10:30:00.000Z,15.984375,,,,,,,,,,,,,
10:30:00.000Z,10:45:00.000Z,15.984375,,,,,,,,,,,,,
10:45:00.000Z,11:00:00.000Z,15.984375,,,,,,,,,,,,,
11:00:00.000Z,11:15:00.000Z,15.984375,,,,,,,,,,,,,
11:15:00.000Z,11:30:00.000Z,15.984375,,,,,,,,,,,,,
11:30:00.000Z,11:45:00.000Z,15.984375,,,,,,,,,,,,,
11:45:00.000Z,12:00:00.000Z,15.984375,,,,,,,,,,,,,
12:00:00.000Z,12:15:00.000Z,15.984375,,,,,,,,,,,,,
12:15:00.000Z,12:30:00.000Z,15.984375,,,,,,,,,,,,,
12:30:00.000Z,12:45:00.000Z,15.984375,,,,,,,,,,,,,
12:45:00.000Z,13:00:00.000Z,15.984375,,,,,,,,,,,,,
13:00:00.000Z,13:15:00.000Z,15.984375,,,,,,,,,,,,,
13:15:00.000Z,13:30:00.000Z,15.984375,,,,,,,,,,,,,
13:30:00.000Z,13:45:00.000Z,15.984375,,,,,,,,,,,,,
13:45:00.000Z,14:00:00.000Z,15.984375,,,,,,,,,,,,,
14:00:00.000Z,14:15:00.000Z,15.984375,,,,,,,,,,,,,
14:15:00.000Z,14:30:00.000Z,15.984375,,,,,,,,,,,,,
14:30:00.000Z,14:45:00.000Z,15.984375,,,,,,,,,,,,,
14:45:00.000Z,15:00:00.000Z,15.984375,,,,,,,,,,,,,
15:00:00.000Z,15:15:00.000Z,15.984375,,,,,,,,,,,,,
15:15:00.000Z,15:30:00.000Z,15.984375,,,,,,,,,,,,,
15:30:00.000Z,15:45:00.000Z,15.984375,,,,,,,,,,,,,
15:45:00.000Z,16:00:00.000Z,15.984375,,,,,,,,,,,,,
16:00:00.000Z,16:15:00.000Z,15.984375,,,,,,,,,,,,,
16:15:00.000Z,16:30:00.000Z,15.984375,,,,,,,,,,,,,
16:30:00.000Z,16:45:00.000Z,15.984375,,,,,,,,,,,,,
16:45:00.000Z,17:00:00.000Z,15.984375,,,,,,,,,,,,,
17:00:00.000Z,17:15:00.000Z,15.984375,,,,,,,,,,,,,
17:15:00.000Z,17:30:00.000Z,15.984375,,,,,,,,,,,,,
17:30:00.000Z,17:45:00.000Z,15.984375,,,,,,,,,,,,,
17:45:00.000Z,18:00:00.000Z,15.984375,,,,,,,,,,,,,
18:00:00.000Z,18:15:00.000Z,15.984375,,,,,,,,,,,,,
18:15:00.000Z,18:30:00.000Z,15.984375,,,,,,,,,,,,,
18:30:00.000Z,18:45:00.000Z,15.984375,,,,,,,,,,,,,
18:45:00.000Z,19:00:00.000Z,15.984375,,,,,,,,,,,,,
19:00:00.000Z,19:15:00.000Z,15.984375,,,,,,,,,,,,,
19:15:00.000Z,19:30:00.000Z,15.984375,,,,,,,,,,,,,
19:30:00.000Z,19:45:00.000Z,15.984375,,,,,,,,,,,,,
19:45:00.000Z,20:00:00.000Z,15.984375,,,,,,,,,,,,,
20:00:00.000Z,20:15:00.000Z,15.984375,,,,,,,,,,,,,
20:15:00.000Z,20:30:00.000Z,15.984375,,,,,,,,,,,,,
20:30:00.000Z,20:45:00.000Z,15.984375,,,,,,,,,,,,,
20:45:00.000Z,21:00:00.000Z,15.984375,,,,,,,,,,,,,
21:00:00.000Z,21:15:00.000Z,15.984375,,,,,,,,,,,,,
21:15:00.000Z,21:30:00.000Z,15.984375,,,,,,,,,,,,,
21:30:00.000Z,21:45:00.000Z,15.984375,,,,,,,,,,,,,
21:45:00.000Z,22:00:00.000Z,15.984375,,,,,,,,,,,,,
22:00:00.000Z,22:15:00.000Z,,,,,,,,,,,75.9999008178711,75.9999008178711,75.9999008178711,
22:15:00.000Z,22:30:00.000Z,,,,,,,,,,,,,,
22:30:00.000Z,22:45:00.000Z,,,,,,,,,,,,,,
22:45:00.000Z,23:00:00.000Z,,,,,,,,,,,,,,
23:00:00.000Z,23:15:00.000Z,,,,,,,,,,,,,,
23:15:00.000Z,23:30:00.000Z,,,,,,,,,,,,,,
23:30:00.000Z,23:45:00.000Z,,,,,,,,,,,,,,
23:45:00.000Z,00:00:00.000Z,,,,,,,,,,,,,,
