Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Inactive duration (ms),Walking duration (ms),Running duration (ms),Sleep duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms)
00:00:00.000Z,00:15:00.000Z,17.05729103088379,0.9393346379647749,,,,,,,,,,,,,,,,900000,,
00:15:00.000Z,00:30:00.000Z,17.05729103088379,0.9393346379647749,,,,,,,,,,,,,,,,900000,,
00:30:00.000Z,00:45:00.000Z,17.05729103088379,0.9393346379647749,,,,,,,,,,,,,,,,900000,,
00:45:00.000Z,01:00:00.000Z,17.05729103088379,0.9393346379647749,,,,,,,,,,,,,,,,900000,,
01:00:00.000Z,01:15:00.000Z,17.05729103088379,0.9393346379647749,,,,,,,,,,,,,,,,900000,,
01:15:00.000Z,01:30:00.000Z,17.05729103088379,0.9393346379647749,,,,,,,,,,,,,,,,900000,,
01:30:00.000Z,01:45:00.000Z,17.05729103088379,0.9393346379647749,,,,,,,,,,,,,,,,900000,,
01:45:00.000Z,02:00:00.000Z,17.05729103088379,0.9393346379647749,,,,,,,,,,,,,,,,900000,,
02:00:00.000Z,02:15:00.000Z,17.05729103088379,0.9393346379647749,,,,,,,,,,,,,,,,900000,,
02:15:00.000Z,02:30:00.000Z,17.05729103088379,0.9393346379647749,,,,,0.0010437051532790065,0.0010437051532790065,0.0010437051532790065,,,,,,,,,900000,,
02:30:00.000Z,02:45:00.000Z,17.05729103088379,0.9393346379647749,,,,,,,,,,,,,,,,900000,,
02:45:00.000Z,03:00:00.000Z,17.05729103088379,0.9393346379647749,,,,,,,,,,,,,,,,900000,,
03:00:00.000Z,03:15:00.000Z,17.05729103088379,0.9393346379647749,-33.8636032,18.6842427,-33.8635491,18.684243,,,,,,,,,,,,900000,,
03:15:00.000Z,03:30:00.000Z,17.05729103088379,0.9393346379647749,-33.8635833,18.6842794,-33.8635833,18.6842794,,,,,,,,,,,,900000,,
03:30:00.000Z,03:45:00.000Z,17.05729103088379,0.9393346379647749,-33.8635112,18.6842521,-33.8635112,18.6842521,,,,,,,,,,,,900000,,
03:45:00.000Z,04:00:00.000Z,17.05729103088379,0.9393346379647749,,,,,,,,,,,,,,,,900000,,
04:00:00.000Z,04:15:00.000Z,17.05729103088379,0.9393346379647749,,,,,,,,,,,,,,,,900000,,
04:15:00.000Z,04:30:00.000Z,17.05729103088379,0.9393346379647749,,,,,,,,,,,,,,,,900000,,
04:30:00.000Z,04:45:00.000Z,17.05729103088379,0.9393346379647749,,,,,,,,,,,,,,,,900000,,
04:45:00.000Z,05:00:00.000Z,17.05729190602022,0.9393346379647749,,,,,,,,,,,,,,,,900000,,
05:00:00.000Z,05:15:00.000Z,17.057292040656595,0.9393346379647749,,,,,,,,,,,,,,,,900000,,
05:15:00.000Z,05:30:00.000Z,17.057292040656595,0.9393346379647749,-33.8635547,18.6842371,-33.8635105,18.6842533,,,,,,,,,,,,900000,,
05:30:00.000Z,05:45:00.000Z,17.057291974018387,0.9393346379647749,,,,,,,,2,,,,,420000,,,480000,,
05:45:00.000Z,06:00:00.000Z,17.057291897860438,0.9393346379647749,,,,,,,,,,,,,900000,,,,,
06:00:00.000Z,06:15:00.000Z,17.057291897860438,0.9393346379647749,,,,,,,,1,,,,,900000,,,,,
06:15:00.000Z,06:30:00.000Z,17.057291897860438,0.9393346379647749,,,,,,,,,,,,,900000,,,,,
06:30:00.000Z,06:45:00.000Z,120.11146699630002,0.12524461839530332,,,,,,,,,,,,,180000,,720000,,,
06:45:00.000Z,07:00:00.000Z,59.99653094422583,6.992919670195271,-33.8636448,18.6841979,-33.8636448,18.6841979,,,,26,,,,,600000,,300000,,,
07:00:00.000Z,07:15:00.000Z,17.05729103088379,11.654866116992117,,,,,,,,18,,,,,900000,,,,,
07:15:00.000Z,07:30:00.000Z,17.05729103088379,11.654866116992117,,,,,,,,18,,,,,900000,,,,,
07:30:00.000Z,07:45:00.000Z,17.05729103088379,11.654866116992117,,,,,,,,18,,,,,900000,,,,,
07:45:00.000Z,08:00:00.000Z,17.05729103088379,11.654866116992117,,,,,,,,18,,,,,900000,,,,,
08:00:00.000Z,08:15:00.000Z,17.05729103088379,11.654866116992117,,,,,,,,18,,,,,900000,,,,,
08:15:00.000Z,08:30:00.000Z,17.05729103088379,11.654866116992117,,,,,,,,18,,,,,900000,,,,,
08:30:00.000Z,08:45:00.000Z,17.05729103088379,11.654866116992117,,,,,,,,18,,,,,900000,,,,,
08:45:00.000Z,09:00:00.000Z,17.05729103088379,11.654866116992117,,,,,0.012949851341545582,0.012949851341545582,0.012949851341545582,18,,,,,900000,,,,,
09:00:00.000Z,09:15:00.000Z,17.05729103088379,11.654866116992117,,,,,,,,18,,,,,900000,,,,,
09:15:00.000Z,09:30:00.000Z,17.05729103088379,11.654866116992117,,,,,,,,18,,,,,900000,,,,,
09:30:00.000Z,09:45:00.000Z,17.05729103088379,11.654866116992117,,,,,,,,18,,,,,900000,,,,,
09:45:00.000Z,10:00:00.000Z,17.057291045315555,11.654866116992117,,,,,,,,18,,,,,900000,,,,,
10:00:00.000Z,10:15:00.000Z,17.05729105253144,11.654866116992117,,,,,,,,18,,,,,900000,,,,,
10:15:00.000Z,10:30:00.000Z,17.057290715750035,11.654866116992117,,,,,,,,18,,,,,358479,,,,,
10:30:00.000Z,10:45:00.000Z,19.02951115180721,24.71998888808279,,,,,0.4314221143722534,0.4314221143722534,0.4314221143722534,17,,,,,165529,31221,,,,
10:45:00.000Z,11:00:00.000Z,17.057290999736374,11.65486662726195,,,,,0.012949851341545582,0.012949851341545582,0.012949851341545582,17,,,,,900000,,,,,
11:00:00.000Z,11:15:00.000Z,22.34276179711965,70.13746419483876,,,,,0.7119088768959045,0.7119088768959045,0.7119088768959045,18,,,,,218814,83671,,,,
11:15:00.000Z,11:30:00.000Z,17.057291011001332,11.654866896833772,,,,,,,,18,,,,,576973,,,,,
11:30:00.000Z,11:45:00.000Z,17.05729103088379,11.654866896833772,,,,,,,,18,,,,,900000,,,,,
11:45:00.000Z,12:00:00.000Z,17.05729103088379,11.654866896833772,,,,,,,,18,,,,,900000,,,,,
12:00:00.000Z,12:15:00.000Z,17.05729103088379,11.654866896833772,,,,,,,,18,,,,,900000,,,,,
