Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Inactive duration (ms),Walking duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
00:00:00.000Z,00:15:00.000Z,17.057291346724316,2.5490196078431375,-33.863596,18.6842415,-33.8635392,18.684271,,,,,,,,,,,660000,,240000
00:15:00.000Z,00:30:00.000Z,17.057291461575417,2.5490196078431375,,,,,,,,,,,,,,,900000,,
00:30:00.000Z,00:45:00.000Z,17.057291099649678,2.5490196078431375,,,,,,,,,,,,,,,300000,600000,
00:45:00.000Z,01:00:00.000Z,17.057291517070695,2.5490196078431375,,,,,,,,,,,,,,,480000,420000,
01:00:00.000Z,01:15:00.000Z,17.057292040656595,2.5490196078431375,-33.8635939,18.6842401,-33.8635939,18.6842401,,,,,,,,,,,900000,,
01:15:00.000Z,01:30:00.000Z,17.057292040656595,2.5490196078431375,,,,,,,,,,,,,,,900000,,
01:30:00.000Z,01:45:00.000Z,17.057291778863643,2.5490196078431375,,,,,,,,,,,,,,,780000,120000,
01:45:00.000Z,02:00:00.000Z,17.05729068409313,2.5490196078431375,,,,,0.0028322439175099134,0.0028322439175099134,0.0028322439175099134,,,,,,,,420000,480000,
02:00:00.000Z,02:15:00.000Z,17.057290843616833,2.5490196078431375,,,,,,,,,,,,,,,240000,660000,
02:15:00.000Z,02:30:00.000Z,17.057290693010604,2.5490196078431375,,,,,,,,,,,,,,,60000,840000,
02:30:00.000Z,02:45:00.000Z,17.057291303362163,2.5490196078431375,-33.8635378,18.6842423,-33.8635378,18.6842423,,,,,,,,,,,900000,,
02:45:00.000Z,03:00:00.000Z,17.057291303362163,2.5490196078431375,,,,,,,,,,,,,,,900000,,
03:00:00.000Z,03:15:00.000Z,17.05729110354469,2.5490196078431375,,,,,,,,,,,,,,,240000,660000,
03:15:00.000Z,03:30:00.000Z,17.05729103088379,2.5490196078431375,,,,,,,,,,,,,,,660000,240000,
03:30:00.000Z,03:45:00.000Z,17.05729103088379,2.5490196078431375,,,,,,,,,,,,,,,900000,,
03:45:00.000Z,04:00:00.000Z,17.05729103088379,2.5490196078431375,-33.8636141,18.6842823,-33.8636141,18.6842823,,,,,,,,,,,900000,,
04:00:00.000Z,04:15:00.000Z,17.05729103088379,2.5490196078431375,-33.8635387,18.6842402,-33.8635387,18.6842402,,,,,,,,,,,900000,,
04:15:00.000Z,04:30:00.000Z,17.057291230177267,2.5490196078431375,,,,,,,,,,,,,,,360000,540000,
04:30:00.000Z,04:45:00.000Z,17.057291177602913,2.5490196078431375,,,,,,,,,,,,,,,,900000,
04:45:00.000Z,05:00:00.000Z,17.057291423712414,2.5490196078431375,,,,,,,,,,,,,,,780000,120000,
05:00:00.000Z,05:15:00.000Z,17.057291461575417,2.5490196078431375,,,,,,,,,,,,,,,900000,,
05:15:00.000Z,05:30:00.000Z,17.05729085165187,2.5490196078431375,,,,,,,,3,,,,,720000,,180000,,
05:30:00.000Z,05:45:00.000Z,32.21801517320716,55.03267973856209,,,,,,,,84,,,,,660000,240000,,,
05:45:00.000Z,06:00:00.000Z,36.008196971740404,119.58666666666667,,,,,0.2222222238779068,0.2222222238779068,0.2222222238779068,182,,,,,600000,300000,,,
06:00:00.000Z,06:15:00.000Z,17.05729204292156,88.2,,,,,0.09799999743700027,0.09799999743700027,0.09799999743700027,135,,,,,244125,,,,
06:15:00.000Z,06:30:00.000Z,39.79837588401968,140.88,,,,,0.3638888895511627,0.3638888895511627,0.3638888895511627,216,,,,6,,360000,,,
06:30:00.000Z,06:45:00.000Z,47.37873279131376,551.1644008893832,-33.9768303,18.4642569,-33.9678581,18.4666217,0.9884580026589339,2.71358585357666,0.011111111380159855,189,,,,,,480000,,,
