Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Inactive duration (ms),Walking duration (ms),Running duration (ms),Light sleeping duration (ms)
00:00:00.000Z,00:15:00.000Z,17.057290077209473,,-33.8635959,18.6843038,-33.8635959,18.6843038,,,,,,,,,,,,900000
00:15:00.000Z,00:30:00.000Z,17.05729052225749,,,,,,,,,,,,,,420000,,,480000
00:30:00.000Z,00:45:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,,,
00:45:00.000Z,01:00:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,,,
01:00:00.000Z,01:15:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,,,
01:15:00.000Z,01:30:00.000Z,17.05729119271943,,,,,,,,,,,,,,900000,,,
01:30:00.000Z,01:45:00.000Z,17.05729137767445,,,,,,,,,,,,,,900000,,,
01:45:00.000Z,02:00:00.000Z,17.05729137767445,,,,,,,,,,,,,,900000,,,
02:00:00.000Z,02:15:00.000Z,17.05729119271943,,,,,,,,,,,,,,420000,,,480000
02:15:00.000Z,02:30:00.000Z,17.05729103088379,,,,,,,,,,,,,,,,,900000
02:30:00.000Z,02:45:00.000Z,17.05729103088379,,,,,,,,,,,,,,,,,900000
02:45:00.000Z,03:00:00.000Z,17.05729103088379,,,,,,,,,,,,,,,,,900000
03:00:00.000Z,03:15:00.000Z,17.05729103088379,,,,,,,,,,,,,,,,,900000
03:15:00.000Z,03:30:00.000Z,17.05729103088379,,,,,,,,,,,,,,,,,900000
03:30:00.000Z,03:45:00.000Z,17.05729103088379,,,,,,,,,,,,,,,,,900000
03:45:00.000Z,04:00:00.000Z,17.05729103088379,,-33.8635785,18.6842546,-33.8635357,18.6842987,,,,,,,,,,,,900000
04:00:00.000Z,04:15:00.000Z,17.05729103088379,,,,,,,,,,,,,,,,,900000
04:15:00.000Z,04:30:00.000Z,17.05729103088379,,,,,,,,,,,,,,,,,900000
04:30:00.000Z,04:45:00.000Z,17.05729103088379,,-33.8635406,18.6842454,-33.8635406,18.6842454,,,,,,,,,,,,900000
04:45:00.000Z,05:00:00.000Z,17.05729103088379,,-33.8635919,18.6842405,-33.8635384,18.6842904,,,,,,,,,,,,900000
05:00:00.000Z,05:15:00.000Z,17.057291067214237,,-33.8635397,18.6842401,-33.8635397,18.6842401,,,,,,,,,,,,900000
05:15:00.000Z,05:30:00.000Z,17.057291058131625,,-33.8635916,18.6842845,-33.8635916,18.6842845,,,,,,,,,540000,,,360000
05:30:00.000Z,05:45:00.000Z,17.05729103088379,,-33.8635406,18.6842408,-33.8635406,18.6842408,,,,,,,,,900000,,,
05:45:00.000Z,06:00:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,,,
06:00:00.000Z,06:15:00.000Z,17.05729103088379,,-33.8636096,18.6842886,-33.8636096,18.6842886,,,,,,,,,900000,,,
06:15:00.000Z,06:30:00.000Z,17.057290954729595,,-33.8635451,18.6842515,-33.8635451,18.6842515,,,,,,,,,900000,,,
06:30:00.000Z,06:45:00.000Z,17.05729090396013,,-33.8635803,18.6842107,-33.8635803,18.6842107,,,,15,,,,,900000,,,
06:45:00.000Z,07:00:00.000Z,17.057290113343132,23.660910844802856,-33.8636774,18.6827352,-33.8619036,18.6843265,1.0762755870819092,1.0762755870819092,1.0762755870819092,51,,,,1,245848,,,
07:00:00.000Z,07:15:00.000Z,17.0572898162079,,,,,,,,,,,,,,,,,
07:15:00.000Z,07:30:00.000Z,29.889578592492068,56.33260679244995,,,,,0.7169037163257599,0.8900175094604492,0.5437899231910706,156,,,,2,290675,203140,,
07:30:00.000Z,07:45:00.000Z,17.057291414824157,,,,,,,,,0,,,,,900000,,,
07:45:00.000Z,08:00:00.000Z,22.961697992269563,74.27324501376371,,,,,0.3237506151199341,0.3237506151199341,0.3237506151199341,115,,,,3,806531,93469,,
08:00:00.000Z,08:15:00.000Z,43.58855536778768,73.39455875057956,-33.9776853,18.4652448,-33.9774149,18.4655511,0.8142538477781471,1.1140590906143188,0.47716987133026123,127,,,,3,480000,420000,,
08:15:00.000Z,08:30:00.000Z,17.05729103088379,0.0,,,,,,,,0,,,,,900000,,,
08:30:00.000Z,08:45:00.000Z,17.05729103088379,0.0,,,,,0.0,0.0,0.0,0,,,,,900000,,,
08:45:00.000Z,09:00:00.000Z,17.05729103088379,0.0,,,,,,,,0,,,,,900000,,,
09:00:00.000Z,09:15:00.000Z,17.05729136996799,0.0,,,,,,,,0,,,,,900000,,,
09:15:00.000Z,09:30:00.000Z,14.824797320776199,141.99369753652545,-33.9776815,18.4652464,-33.9774546,18.4654899,0.34320753812789917,0.3864150643348694,0.30000001192092896,199,,,,,514823,385177,,
09:30:00.000Z,09:45:00.000Z,17.057290456714497,51.99626865671642,,,,,,,,74,,,,,900000,,,
09:45:00.000Z,10:00:00.000Z,17.057290456714497,51.99626865671642,,,,,,,,74,,,,,900000,,,
10:00:00.000Z,10:15:00.000Z,19.17492763457092,51.99626865671642,,,,,,,,74,,,,,866477,33523,,
10:15:00.000Z,10:30:00.000Z,17.057292938232422,51.99626865671642,,,,,,,,74,,,,,900000,,,
10:30:00.000Z,10:45:00.000Z,17.057292938232422,51.99626865671642,,,,,,,,74,,,,,900000,,,
10:45:00.000Z,11:00:00.000Z,17.057292938232422,51.99626865671642,,,,,,,,74,,,,,900000,,,
11:00:00.000Z,11:15:00.000Z,17.057292936924338,51.99626865671642,,,,,,,,74,,,,,900000,,,
11:15:00.000Z,11:30:00.000Z,17.057292631969283,51.99626865671642,,,,,,,,74,,,,,900000,,,
11:30:00.000Z,11:45:00.000Z,17.057292631969283,51.99626865671642,,,,,0.05777363106608391,0.05777363106608391,0.05777363106608391,74,,,,,900000,,,
11:45:00.000Z,12:00:00.000Z,17.057292631969283,51.99626865671642,,,,,,,,74,,,,,900000,,,
12:00:00.000Z,12:15:00.000Z,35.665565122876,51.99626865671642,,,,,,,,74,,,,,584066,294576,,
12:15:00.000Z,12:30:00.000Z,35.523685632398184,51.99626865671642,,,,,,,,74,,,,,,292330,,
12:30:00.000Z,12:45:00.000Z,27.5365732976053,51.99626865671642,,,,,,,,74,,,,,734109,165891,,
12:45:00.000Z,13:00:00.000Z,17.05729103088379,51.99626865671642,,,,,,,,74,,,,,900000,,,
13:00:00.000Z,13:15:00.000Z,17.05729103088379,51.99626865671642,,,,,,,,74,,,,,900000,,,
13:15:00.000Z,13:30:00.000Z,17.05729103088379,51.99626865671642,,,,,,,,74,,,,,900000,,,
13:30:00.000Z,13:45:00.000Z,18.78504583234704,51.99626865671642,,,,,,,,74,,,,,872649,27351,,
13:45:00.000Z,14:00:00.000Z,23.956038251122234,194.79850746268656,-33.9774998,18.4653953,-33.9774925,18.4654051,0.3888888955116272,0.3888888955116272,0.3888888955116272,291,,,,7,370272,529728,,
14:00:00.000Z,14:15:00.000Z,28.776623478335665,390.46153846153845,-33.9772891,18.4648793,-33.9675306,18.4667332,0.4775641113519668,0.5666666626930237,0.38846156001091003,564,,,,14,178142,721858,,
14:15:00.000Z,14:30:00.000Z,7.170119823990287,173.10989010989013,-33.9450135,18.4663522,-33.8820082,18.5092923,0.10476190596818924,0.10476190596818924,0.10476190596818924,264,,,,5,,300000,540000,
14:30:00.000Z,14:45:00.000Z,8.292996946867412,205.7012987012987,-33.9161224,18.4752287,-33.8579183,18.6863351,0.3227272629737854,0.3227272629737854,0.3227272629737854,314,,,,9,,540000,300000,
14:45:00.000Z,15:00:00.000Z,18.817301878963626,67.3741872551658,-33.8636534,18.6840771,-33.8636534,18.6840771,0.3973846733570099,0.3973846733570099,0.3973846733570099,84,,,,2,736283,163717,,
15:00:00.000Z,15:15:00.000Z,17.05729103088379,20.56,,,,,,,,31,,,,,900000,,,
