Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Hiking duration (ms),Sleep duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
2014-07-29,132.04166666666666,,,,,,,,,,,,,,,,,,,,,,
2014-07-30,1584.5,,,,,,,,,,,,,,,,,,,,,,
2014-07-31,1452.4583333333333,,,,,,,,,,75.0,75.0,75.0,,,,,,,,,,
2015-02-19,132.04166666666666,,,,,,,,,,,,,,,,,,,,,,
2015-02-20,1584.5,,,,,,,,,,,,,,,,,,,,,,
2015-02-21,1452.4583333333333,,,,,,,,,,70.0,70.0,70.0,,,,,,,,,,
2016-11-12,127.875,,,,,,,,,,,,,,,,,,,,,,
2016-11-13,1534.5,,,,,,,,,,,,,,,,,,,,,,
2016-11-14,1406.625,,,,,,,,,,75.9999008178711,75.9999008178711,75.9999008178711,,,,,,,,,,
2016-11-17,132.87491861979166,,,,,,,,,,,,,,,,,,,,,,
2016-11-18,1594.4990234375,,,,,,,,,,,,,,,,,,,,,,
2016-11-19,1461.6241048177083,,,,,,,,,,74.0,74.0,74.0,,,,,,,,,,
2017-02-04,131.20833333333331,,,,,,,,,,,,,,,,,,,,,,
2017-02-05,1574.4999999999998,,,,,,,,,,,,,,,,,,,,,,
2017-02-06,1443.2916666666665,,,,,,,,,,74.0,74.0,74.0,,,,,,,,,,
2017-08-21,131.20833333333331,,,,,,,,,,,,,,,,,,,,,,
2017-08-22,1574.4999999999998,,,,,,,,,,,,,,,,,,,,,,
2017-08-23,1443.2916666666665,,,,,,,,,,72.99979400634766,72.99979400634766,72.99979400634766,,,,,,,,,,
2017-10-07,130.37482706705728,,,,,,,,,,,,,,,,,,,,,,
2017-10-08,1564.4979248046875,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,1434.1230977376301,,,,,,,,,,72.00007629394531,72.00007629394531,72.00007629394531,,,,,,,,,,
2018-08-26,129.5417277018229,,,,,,,,,,,,,,,,,,,,,,
2018-08-27,1554.500732421875,,,,,,,,,,,,,,,,,,,,,,
2018-08-28,1554.500735477193,,,,,,,,,,80.0,80.0,80.0,,,,,,,,,,
2018-08-29,761.0154591842653,,,,,,,,,,80.0,80.0,80.0,,,,,,,,,,
2018-10-26,136.20833333333331,,,,,,,,,,,,,,,,,,,,,,
2018-10-27,1634.4999999999998,,,,,,,,,,,,,,,,,,,,,,
2018-10-28,1498.2916666666665,,,,,,,,,,78.00019836425781,78.00019836425781,78.00019836425781,,,,,,,,,,
2019-02-09,134.54182942708331,,,,,,,,,,,,,,,,,,,,,,
2019-02-10,1614.5019531249998,,,,,,,,,,,,,,,,,,,,,,
2019-02-11,1479.9601236979165,,,,,,,,,,80.0136947631836,80.0136947631836,80.0136947631836,,,,,,,,,,
2019-02-15,136.21975708007812,,,,,,,,,,,,,,,,,,,,,,
2019-02-16,1634.6370849609375,,,,,,,,,,,,,,,,,,,,,,
2019-02-17,1634.6370849609375,,,,,,,,,,79.30012512207031,79.30012512207031,79.30012512207031,,,,,,,,,,
2019-02-18,1634.0424296061199,,,,,,,,,,,,,,,,,,,,,,
2019-02-19,1627.417744954427,,,,,,,,,,79.19999694824219,79.19999694824219,79.19999694824219,,,,,,,,,,
